,full_name,forks_count,open_issues_count,watchers_count,star_count
666,scrapy/scrapyd,-1.4610557090435141,-2.150497097226413,-0.9749997607570277,-0.9749997607570277
667,rafaelpadilla/Object-Detection-Metrics,-1.4416788692621854,-2.7189673277022446,-0.9749997607570277,-0.9749997607570277
668,derv82/wifite2,-1.4876988637428414,-1.958877918414335,-0.9749997607570277,-0.9749997607570277
669,Fantomas42/django-blog-zinnia,-1.2446809981520088,-2.629545044256608,-0.9751725212285881,-0.9751725212285881
670,awslabs/aws-cloudformation-templates,-0.6431915966065924,-2.3868274177613094,-0.9751725212285881,-0.9751725212285881
671,behave/behave,-1.4626704456919584,-2.58483390253379,-0.9763818445295117,-0.9763818445295117
672,lanjelot/patator,-1.3940441381330853,-2.6998054098210367,-0.9763818445295117,-0.9763818445295117
673,attardi/wikiextractor,-1.3730525617033125,-2.374052805840504,-0.9765546050010723,-0.9765546050010723
674,jbarlow83/OCRmyPDF,-1.6225293738879212,-2.4954116190881535,-0.9449394387054979,-0.9449394387054979
675,bulletmark/libinput-gestures,-1.708110416255457,-2.8083896111478808,-0.9449394387054979,-0.9449394387054979
676,YongHaoWu/NeteaseCloudMusicFlac,-1.4634778140161804,-2.706192715781439,-0.9456304805917399,-0.9456304805917399
677,ofek/hatch,-1.7710851455447758,-2.6614815740586213,-0.9458032410633005,-0.9458032410633005
678,ymcui/Chinese-BERT-wwm,-1.5175714917390566,-2.8275515290290887,-0.945976001534861,-0.945976001534861
679,wzhe06/Ad-papers,-1.2261115266949019,-2.8275515290290887,-0.945976001534861,-0.945976001534861
680,YunYang1994/tensorflow-yolov3,-1.1163094346007052,-0.46424832368012614,-0.945976001534861,-0.945976001534861
681,airbnb/streamalert,-1.6273735838332535,-2.393214723721712,-0.9461487620064215,-0.9461487620064215
682,Kayzaks/HackingNeuralNetworks,-1.6491725285872485,-2.8275515290290887,-0.9461487620064215,-0.9461487620064215
683,etsy/skyline,-1.5571325396259363,-2.489024313127751,-0.9470125643642241,-0.9470125643642241
684,noirbizarre/flask-restplus,-1.4885062320670635,-0.5856071369277756,-0.9475308457789057,-0.9475308457789057
685,jaredks/rumps,-1.729909361009452,-2.5528973727317767,-0.9485674086082687,-0.9485674086082687
686,dlitz/pycrypto,-1.4053472946721939,-1.5692522548297763,-0.9485674086082687,-0.9485674086082687
687,gboeing/osmnx,-1.5547104346532703,-2.7828403873062704,-0.9490856900229503,-0.9490856900229503
688,biolab/orange3,-1.3585199318673158,-2.578446596573387,-0.9490856900229503,-0.9490856900229503
689,cjhutto/vaderSentiment,-1.3698230884064242,-2.6870307979002317,-0.9496039714376319,-0.9496039714376319
690,cuemacro/finmarketpy,-1.5393704364930516,-2.7189673277022446,-0.9496039714376319,-0.9496039714376319
691,luispedro/BuildingMachineLearningSystemsWithPython,-0.6674126463332535,-2.8083896111478808,-0.9497767319091923,-0.9497767319091923
692,WhaleShark-Team/cobra,-1.1946241620502425,-2.4443131714049326,-0.9499494923807529,-0.9499494923807529
